OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude,geocode_place_name,geocode_place_type,geocode_relevance,geocode_status
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.54074659344628,-95.22209296873365,"Big Cabin, Oklahoma, United States",municipality,0.594444,ok
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.974969329405866,-90.57180136442184,"12 Reservoir, Wisconsin, United States",major_landform,0.50202,ok
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.94761860196962,-112.71449960768223,"Gila Bend, Arizona, United States",municipality,0.594444,ok
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.94761860196962,-112.71449960768223,"Gila Bend, Arizona, United States",municipality,0.594444,ok
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.38803399289072,-94.42650116980076,"Fort Smith, Arkansas, United States",municipality,0.594444,ok
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.919781126488,-75.08329390223304,"US 46, Knowlton Township, New Jersey 07832, United States",address,1,ok
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.76121232151462,-78.63192711381839,"Conicville Boulevard, Mount Jackson, Virginia 22842, United States",address,0.657481,ok
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.824909481473295,-97.60445415973663,"Jarrell, Texas, United States",municipality,0.607143,ok
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.394861633143385,-85.91690205037594,"Shorter, Alabama, United States",municipality,0.564815,ok
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,40.327012804136224,-86.17469351738691,"Indiana, United States",region,0.451178,ok
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.258841208716795,-95.8519484102726,"Council Bluffs, Iowa, United States",municipality,0.594444,ok
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,47.620146262872034,-100.54073709994555,"North Dakota, United States",region,0.469136,ok
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4567747969855,-107.65083390256467,"US 50, Montrose, Colorado 81401, United States",address,1,ok
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,42.271862,-71.23411900000002,"13 Laurel Drive, Needham, Massachusetts 02492, United States",address,0.707099,ok
